,FacilityName,Latitude,Longitude,LocationAddress,City,State,ZIP,County,FIPScode,PrimaryNAICS,SecondPrimaryNAICS,IndustryType,TRI_Air_Emissions_10_in_lbs,TRI_Air_Emissions_11_in_lbs,TRI_Air_Emissions_12_in_lbs,TRI_Air_Emissions_13_in_lbs,GHG_Direct_Emissions_10_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_14_in_metric_tons
1485,SI GROUP INC,28.9744,-95.34453,702 FM 523,FREEPORT,TX,77541,BRAZORIA,48039.0,325194,325110.0,Chemicals,141222.1201129134,14706.62934120218,17830.38340848377,13309.68692417178,60299.91043388951,73474.32740205064,80432.10622732202,14912.222866517848,74739.17401412906
1486,MGT POTOMAC 2118,40.357581,-87.825839,27385 N. ROAD 620 EAST,POTOMAC,IL,61865,VERMILION,17183.0,486210,,Petroleum and Natural Gas Systems,,,,,,,,,43960.164947275625
1487,FULTON COUNTY LANDFILL,43.01391,-74.47798,847 MUD RD,JOHNSTOWN,NY,12095,FULTON,36035.0,562212,,Waste,,,,,92531.73345631496,176827.2499679947,435321.2050387407,219952.8587933086,209390.122636058
1488,MILAM RDF,38.65599,-90.1207,601 MADISON RD,EAST ST LOUIS,IL,62201-1642,ST CLAIR,17163.0,562212,,Waste,,,,,1852110.5102176608,1045890.0065966764,2721849.071313248,580772.1118386011,1261992.9358810915
1489,CIG STATION 5310 KIM,37.292224,-103.451177,90100 HIGHWAY 160,KIM,CO,81049,LAS ANIMAS,8071.0,486210,,Petroleum and Natural Gas Systems,,,,,18967.97601947416,32889.1316606302,34160.41513935331,5115.840539880548,10996.771243779904
1490,TRADEMARK NITROGEN CORP,27.954196,-82.348227,1216 OLD HOPEWELL RD,TAMPA,FL,33619,HILLSBOROUGH,12057.0,325311,,Chemicals,13910.06622180247,15821.06653879834,16890.246374697123,20552.735352448577,28245.227830517288,9520.031515246468,45823.354074606,14411.170341887482,64751.14376354805
1491,VALLEY GENERATING STATION,34.2445,-118.3926,11801 SHELDON ST,SUN VALLEY,CA,91352,LOS ANGELES,6037.0,221112,,Power Plants,,,,,92553.81639872708,77095.89068257011,15435.40644927061,38454.00856034774,68087.75781537141
1492,INTERNATIONAL PAPER ORANGE MILL,30.22052,-93.742096,1750 INLAND RD,ORANGE,TX,77632,ORANGE,48361.0,322130,,"Pulp and Paper,Waste",31607.83806260581,33573.984771400166,27691.372510026496,29531.77214726688,76957.7912076718,49590.840695574974,47884.12768059527,26206.46198081582,32917.75456456049
1493,AMERICAN ELECTRIC POWER LAREDO POWER PLANT,27.56714,-99.50523,7300 CPL RD.,LAREDO,TX,78041,WEBB,48479.0,221112,,Power Plants,,,,,72874.37950946976,188701.9921779321,245700.97183317304,521373.2216914289,197993.2669936237
1494,ALCOA INC.-NORTH PLANT,35.81139,-83.96721,2300 N WRIGHT RD,ALCOA,TN,377013141,BLOUNT,47009.0,331314,331315.0,Metals,15138.993252344546,15769.087206711574,17223.96952691694,14451.5095116521,25203.96000124329,50606.67227342344,43583.4642156666,68569.21150029541,46917.01265669259
1495,NATIONAL SERV ALL INCORPORATED,41.031121,-85.216174,6231 MACBETH RD,FORT WAYNE,IN,46809-9720,ALLEN,18003.0,562212,,Waste,,,,,309523.4286510287,49158.76352835471,232138.56002028423,73432.07467620034,235356.1907039873
1496,MISSISSIPPI CANYON 724 GULFSTAR 1 (TUBULAR BELLS),,,,HOUSTON,TX,77010,HARRIS,48201.0,211111,,Petroleum and Natural Gas Systems,,,,,,,,,44029.49615140357
1497,ARIZONA ELECTRIC POWER COOPERATIVE INC,32.01718,-109.894337,3525 N HWY 191 S,COCHISE,AZ,85606,COCHISE,4003.0,221112,,Power Plants,34731.39608505043,30643.194106861272,34202.870598346824,30363.25305791753,305757.0374778029,218576.69978991096,295789.5681767754,192767.1422765965,302885.66614583565
1498,US ARMY FORT DETRICK,39.434169,-77.446668,810 SCHREIDER ST,FORT DETRICK,MD,21702,FREDERICK,24021.0,928110,,Other,38771.23662616595,37905.06755539646,42905.19532307839,37529.174050662674,75206.19389942307,41925.62923361369,72776.92721414383,66990.51595804462,66848.38122553144
1499,IESI EAST TEXAS REGIONAL LANDFILL,32.118437,-94.707114,5155 FM 2867,HENDERSON,TX,75653-1048,RUSK,48401.0,562212,,Waste,,,,,328927.7368845499,290758.8749489026,397764.6974871589,97820.72861242136,141304.70943074173
1500,WESTERN PYOTE CMP STN,31.504705,-103.139435,"3MI S ON FM 1927, 0.2 MILES WEST ON UNMARKED DIRT",PYOTE,TX,79777,,,486210,,Petroleum and Natural Gas Systems,,,,,,,317241.7889708342,75551.01515188158,185825.37088587385
1501,SOUTHERN CALIFORNIA GAS COMPANY - ALISO CANYON,34.307569,-118.551235,12801 TAMPA AVE,PORTER RANCH,CA,91326,LOS ANGELES,6037.0,486210,,Petroleum and Natural Gas Systems,,,,,41218.63075862194,52131.0528926721,52496.35310581973,31971.64108179837,46412.873245136245
1502,NAVAL RESEARCH LABORATORY,38.824587,-77.017398,4555 OVERLOOK AVE,WASHINGTON,DC,20375-0001,DISTRICT OF COLUMBIA,11001.0,928110,,Other,,,,,2765780.234699098,294244.4328707293,4132083.4105590233,587682.175683375,1470416.523303812
1503,EXXONMOBIL PRODUCTION - KING RANCH GAS PLANT,27.468056,-98.055833,7 MILES W OF KINGSVILLE ON HWY 141,KINGSVILLE,TX,78363,KLEBERG,48273.0,211111,,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,,,,43538.82897630143,35524.95124841244,40262.698875817136,24488.174362294303,11925.026263406333
1504,NEMAK USA INC-GATEWAY,43.70818,-87.7526,4243 GATEWAY DR,SHEBOYGAN,WI,53081,SHEBOYGAN,55117.0,331314,,Metals,27735.103773222578,37057.29597638141,24602.88900531355,18384.995932911217,31357.225502122,42868.87207198304,30829.276517306746,21111.94997638172,29363.5355053801
1505,NEBO POWER STATION,40.062427,-111.729721,1265 BAMBERGER ROAD,SPANISH FORK,UT,84660,UTAH,49049.0,221112,,Power Plants,,,,,49660.22133413951,70330.87065643359,51273.51130498118,31911.396105226453,80584.22803047489
1506,MOUNTAIN COAL COMPANY DBA WEST ELK MINE,38.92823,-107.44687,5174 HIGHWAY 133,SOMERSET,CO,81434-0591,GUNNISON,8051.0,212112,,Other,,,,,,784471.8386268623,1193653.077030789,882981.9844238443,944925.5454445368
1507,SHANNON ROAD LANDFILL,34.27755,-91.838203,SHANNON ROAD,PINE BLUFF,AR,71601,JEFFERSON,5069.0,562212,,Waste,,,,,54973.668520441264,20502.808447432115,75151.82713096592,82595.1153937072,48105.57667484578
1508,ANR PIPELINE E G HILL COMPRESSOR STATION,36.494444,-101.469444,TX OK ST LINE AT TX 136 20 M N,GRUVER,TX,79040,HANSFORD,48195.0,486210,,Petroleum and Natural Gas Systems,,,,,586396.2488728963,755793.4575206467,70209.50729711202,86789.43014061828,36517.85685285739
1509,CRCVA-Osaka Mine #1,36.970042,-82.604399,5703 Crutchfield Drive,NORTON,VA,24273,NORTON CITY,51720.0,212112,,Other,,,,,,245612.7726223562,230514.6275376072,182070.1768644548,222618.94641979004
1510,WICKLIFFE PAPER COMPANY,36.944409,-89.07988,1724 FT JEFFERSON HILL RD,WICKLIFFE,KY,42087,BALLARD,21007.0,322121,322110.0,"Pulp and Paper,Suppliers of CO2,Waste",156760.71364645407,148199.85252797653,106217.52111842026,122026.93363745218,354427.90909141715,921804.7615374333,346418.65951601387,393572.9001068512,422550.8441726597
1511,VEOLIA ES VALLEY VIEW LANDFILL INC,39.82227,-89.043771,1363 BEAR RD,DECATUR,IL,62522,MACON,17115.0,562212,,Waste,,,,,408791.8959689293,1118499.2051322125,378098.6985699105,783577.553631771,248684.69878953704
1512,RIVERSIDE ENERGY RESOURCE CENTER,33.96128,-117.451824,5901 PAYTON AVE.,RIVERSIDE,CA,92504,RIVERSIDE,6065.0,221112,,Power Plants,,,,,52710.33460066645,49574.10085711142,56346.16650329834,62980.07238054977,43839.45765527613
1513,GOOSE HAVEN ENERGY CENTER,38.22691,-121.84272,3853 GOOSE HAVEN ROAD,SUISUN CITY,CA,94585,SOLANO,6095.0,221112,,Power Plants,,,,,181872.90800374263,248224.513778219,224631.9312536582,502440.85981947184,661929.6371509696
1514,PIONEER GENERATING STATION,48.231996,-103.95202,5639 151ST AVE NW,WILLISTON,ND,58801,WILLIAMS,38105.0,221112,,Power Plants,,,,,,,,56282.69720130428,44942.86627123204
1515,"GREENVILLE CITY OF, LANDFILL-CLOSED",34.80839,-82.334338,MAULDIN RD,GREENVILLE,SC,29602,GREENVILLE,45045.0,562212,,Waste,,,,,92022.56850031306,38523.29033072682,60871.718840531306,45994.16198896911,63530.71698987456
1516,WESTERN BERKS COMM LDFL & RECYCLING CTR/ BIRDSBORO,40.300479,-75.911187,455 POPLAR NECK ROAD,BIRDSBORO,PA,19508-8300,BERKS,42011.0,562212,,Waste,,,,,323941.6421880935,536049.0332082977,1089234.242397811,350594.760389638,872319.7437140134
1517,CALUMET LUBRICANTS REFINERY,32.800556,-93.412778,1756 OLD HWY 7,COTTON VALLEY,LA,71018,WEBSTER,22119.0,324110,,"Chemicals,Petroleum Product Suppliers,Refineries",23750.829241369203,21042.15252987508,19559.55428319313,20786.633549197213,285402.2619836852,204149.76005737684,329360.65947081737,189319.4950767473,316863.3361670412
1518,AERA ENERGY LLC,35.95368,-120.8594,66893 SARGENT CANYON ROAD,SAN ARDO,CA,93450-8900,MONTEREY,6053.0,211111,,Petroleum and Natural Gas Systems,,,,,107592.997335029,204292.6321633317,272205.6304949574,71778.43641588562,327844.59228762804
1519,BINGHAMTON CO-GENERATION PLANT,42.10715,-75.92782,22 CHARLES STREET,BINGHAMTON,NY,13905-2247,BROOME,36007.0,221112,,Power Plants,,,,,23653.90620317065,65056.64032980384,199505.32175667983,84567.18432902673,35187.48900305113
1520,NRG NORWALK HARBOR POWER STATION,41.07305,-73.412604,MANRESA ISLAND AVE,NORWALK,CT,6854,FAIRFIELD,9001.0,221112,,Power Plants,,,,,314855.64014841715,131154.3751816564,246968.45269371453,308296.2965766198,84794.05634249866
1521,"SOUTH MISSISSIPPI ELECTRIC POWER ASSOCIATION, R D MORROW PLANT",31.213622,-89.397517,304 OLD OKAHOLA SCHOOLHO US E RD,PURVIS,MS,39475,LAMAR,28073.0,221112,,Power Plants,19458.60084226072,14941.146018309712,17356.224387098584,21077.188128364345,64089.67023822048,181881.5477583609,210371.73432939828,9216.860978582372,474244.72119458514
1522,IMERYS SANDERSVILLE CALCINE PLANT,32.96484,-82.82182,618 KAOLIN ROAD,SANDERSVILLE,GA,31082-1610,WASHINGTON,13303.0,327992,,Minerals,,,,,63337.12830668892,1491.5302795967364,46893.613559385485,20315.620366313226,53673.77501143574
1523,BIG ESCAMBIA CREEK GAS PLANT,31.064428,-87.366868,3888 SARDIS CHURCH RD,ATMORE,AL,36502,ESCAMBIA,1053.0,211112,,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",43384.80764088263,30516.60498763617,30106.87130789845,32678.609605282632,58945.68423272634,10387.99329927261,74650.7940840879,38665.87178665549,13108.141893674949
1524,LES ROKEBY GENERATING STATION,40.731917,-96.737083,8000 SOUTHWEST 12TH STREET,LINCOLN,NE,68523-9141,LANCASTER,31109.0,221112,,Power Plants,,,,,27426.23337484622,79996.42384367558,47353.30106599518,98525.8531722356,87574.27115745876
1525,MILLERSVILLE LANDFILL,39.085577,-76.676523,389 BURNS CROSSING ROAD,SEVERN,MD,21144-3464,ANNE ARUNDEL,24003.0,562212,,Waste,,,,,269668.46434431925,54932.79531052531,206665.2196481568,43441.04965318533,67162.68867154847
1526,DUKE ENERGY MURRAY,34.719439,-84.936331,925 LOOPERS BRIDGE ROAD,DALTON,GA,30721-5253,WHITFIELD,13313.0,221112,,Power Plants,,,,,69137.80925769513,39772.35352579441,61164.601340491005,88817.31143765924,237791.5256368072
1527,ALLIED WASTE SYSTEMS OF MICHIGAN LLC,41.731819,-83.509247,6233 HAGMAN ROAD,ERIE,MI,48133,MONROE,26115.0,562212,,Waste,,,,,65543.77492144336,47295.22142807065,61864.79644750164,19177.379456925788,53357.09529328386
1528,FORT ST. VRAIN STATION,40.2461,-104.8742,16805 WELD COUNTY ROAD 19 1/2,PLATTEVILLE,CO,80651,WELD,8123.0,221112,,Power Plants,,,,,98913.01146774302,24748.36986749599,50303.96138358101,34010.18041773142,64524.29191711003
1529,BUNCOMBE COUNTY LANDFILL,35.72558,-82.63552,85 PANTHER BRANCH ROAD,ALEXANDER,NC,28701-9716,BUNCOMBE,37021.0,562212,,Waste,,,,,45234.22608558316,35361.54708469528,7520.838305916717,23191.5874631684,30875.62471838577
1530,EASTMAN CHEMICAL TEXAS CITY INC,29.381083,-94.894642,201 BAY ST S,TEXAS CITY,TX,77590,GALVESTON,48167.0,325199,325110.0,Chemicals,26126.01498137733,25050.813145943845,30427.931409495755,29561.7102097212,69032.03362228585,62822.46532516274,60384.64905129871,172950.36084247258,118772.24493453544
1531,NATURAL SODA,39.886477,-108.332665,3200 CR31,RIFLE,CO,81650,GARFIELD,8045.0,325188,,Chemicals,,,,,,42589.5366226942,67512.03883315115,38006.76501551461,52763.04053617152
1532,COLORADO BEND I,29.426731,-96.073945,3821 S SH 60 HWY,WHARTON,TX,77488,WHARTON,48481.0,221112,,Power Plants,,,,,268675.6910912082,292817.2458580871,255315.73221362004,215813.0288944916,233579.4816605824
1533,AIR PRODUCTS LLC,29.757778,-95.023056,5503 W BAKER RD,BAYTOWN,TX,77520,HARRIS,48201.0,325120,,Chemicals,50878.05671328808,47226.83113124685,48089.905101085984,46200.7655867466,57888.73471376818,11684.611161239198,62213.39361380538,36472.17328519575,51331.77815037109
1534,TEXAS EASTERN TRANSMISSION CORP,34.651817,-87.914312,1835 MOUNT MILLS ROAD,TUSCUMBIA,AL,35674-6617,COLBERT,1033.0,486210,,Petroleum and Natural Gas Systems,,,,,,524527.4090739947,2397336.306196061,2363840.076082801,1412763.7091565707
1535,UW MADISON - WALNUT ST.,43.07606,-89.42604,614 WALNUT ST.,MADISON,WI,53705,DANE,55025.0,221330,,Power Plants,,,,,56027.1124384009,36563.32417295007,32023.81879593058,8559.714063158295,67824.54727949647
1536,DELTA AIR LINES INC.- ATLANTA OPERATIONS,33.656807,-84.423124,1020 DELTA BLVD,ATLANTA,GA,30354,FULTON,13121.0,481111,,Other,,,,,264437.1747214751,102510.64596414148,65987.98558176648,59817.5005009841,231038.0143917104
1537,"CIG STATION 5610 GREASEWOOD, CO",39.854648,-108.105434,5200 COUNTY ROAD 3,RIFLE,CO,81650,GARFIELD,8045.0,486210,,Petroleum and Natural Gas Systems,,,,,,74867.23870364978,300442.69728287373,124674.13980222098,43058.8577826664
1538,WINYAH GENERATING STATION,33.330842,-79.357839,661 STEAM PLANT DR,GEORGETOWN,SC,29440,GEORGETOWN,45043.0,221112,,Power Plants,42308.33585996888,47256.60848275521,38241.94124894261,40825.11450751629,90450.10722279087,73106.97748814999,44071.06440114337,84651.30519493128,36466.325075394925
1539,STATE LINE POWER PLANT,37.0659,-94.614,2299 SOUTH STATE LINE AVENUE,JOPLIN,MO,64804-7017,JASPER,29097.0,221112,,Power Plants,,,,,51090.94707051847,31006.60114152454,83007.35294806125,38599.98487249787,37562.47846778628
1540,CORNELL UNIVERSITY ITHACA CAMPUS,42.446705,-76.483058,ROUTE 366,ITHACA,NY,14853,TOMPKINS,36109.0,611310,,Other,,,,,108784.55790566748,64679.12007996359,90503.08331988896,55451.00666507053,48839.50361037493
1541,NU-WEST INDUSTRIES INC,42.739417,-111.541421,3010 CONDA RD,SODA SPRINGS,ID,83276,CARIBOU,16029.0,325312,,Chemicals,34182.15214540055,25941.56419800304,28078.270336525024,27677.149309530272,89122.41899081669,16122.210227887932,51089.64901455162,38657.14772303257,79892.08469511889
1542,BOEING INTEGRATED DEFENSE SYSTEMS GROUP ROTOTCRAFT,39.869839,-75.320732,1 STEWART AVE,RIDLEY PARK,PA,19078,DELAWARE,42045.0,336411,,Other,,,,,863368.2715551896,89580.45439602567,579938.8543591463,787755.0819387342,948787.600564166
1543,LANCASTER RANCH COMPRESSOR STATION AND TREATING FACILITY,28.726014,-99.037991,9322 EAST HWY 85,DERBY,TX,78017,FRIO,48163.0,211111,,"Injection of CO2,Petroleum and Natural Gas Systems",,,,,,,,33241.99932362427,37800.11809620134
1544,AIR PRODUCTS & CHEMICALS INCORPORATED,33.812778,-118.231389,23300 S ALAMEDA ST,CARSON,CA,90810,LOS ANGELES,6037.0,325120,,Chemicals,56046.29228341299,51440.48880734936,50084.71042339828,47204.182593938254,972678.609635058,737651.6016591847,1438566.131211924,390097.5692253279,1235548.3642814334
1545,OWENS-BROCKWAY GLASS CONTAINER PLANT 21,45.56333,-122.56462,9710 NE GLASS PLANT RD,PORTLAND,OR,972201383,MULTNOMAH,41051.0,327213,,Minerals,39958.14400974142,44610.10467511426,42901.65964574431,37920.14075131277,2634541.60033494,1806892.3890715728,1786988.032549248,399939.97539175337,2003849.6244098824
1546,DESERT BASIN GENERATING STATION,32.903758,-111.78958,1872 N. BURRIS ST.,CASA GRANDE,AZ,85122,PINAL,4021.0,221112,,Power Plants,,,,,796558.3566281908,698196.5438996457,93416.4253612974,65776.48415774103,79725.79284985947
1547,Quantum Auburndale Power L.P.,28.05452,-81.80585,1501 WEST DERBY AVE.,AUBURNDALE,FL,33823,POLK,12105.0,221112,,Power Plants,,,,,295132.4942282259,64103.42247192121,639538.890346122,42044.88420260938,89555.83863904553
1548,MCCAIN FOODS USA INC,42.53491,-113.845853,218 W HIGHWAY 30,BURLEY,ID,83318,CASSIA,16031.0,311411,,"Other,Waste",42670.70220184156,36251.32213636961,36548.40779106523,32941.54481979843,689975.4501456745,503407.9107254402,1223737.247670816,302881.6398209212,1454645.286664839
1549,NRG-CABRILLO POWER KEARNEY 1,32.833812,-117.134588,5459 COMPLEX,SAN DIEGO,CA,92123,SAN DIEGO,6073.0,221112,,Power Plants,,,,,,,1352605.568404238,537953.4452551397,1035677.7528386292
1550,"RECAST ENERGY LOUISVILLE, LLC",38.22029,-85.828814,4014 BELLS LANE,LOUISVILLE,KY,40211,JEFFERSON,21111.0,221330,,Power Plants,,,,,83753.91289412948,181836.1523384244,600402.779832132,512781.8243578095,48733.47279501136
1551,MEADOW BRANCH LANDFILL-ENV. TRUST CO.,35.482048,-84.679091,233 COUNTY ROAD 166,ATHENS,TN,37303,MCMINN,47107.0,562212,,Waste,,,,,157773.31678758436,351986.7707005842,217994.9166438761,94148.2367079613,882542.3655103846
1552,WHITE OAK COMPRESSOR STATION,39.193137,-80.887298,3850 OXFORD ROAD,PULLMAN,WV,26421,RITCHIE COUNTY,54085.0,211111,,Petroleum and Natural Gas Systems,,,,,,,,,191386.25047143945
1553,ALLIANCE SANI LDFL,41.38835,-75.737311,398 KEYSER AVENUE,TAYLOR,PA,18517-1009,LACKAWANNA,42069.0,562212,,Waste,,,,,320549.8777863952,201801.2808880437,189577.45673892315,209279.95202398315,232636.00392401457
1554,UNION ELECTRIC RUSH ISLAND POWER PLANT,38.133583,-90.263806,100 BIG HOLLOW RD,FESTUS,MO,63028,JEFFERSON,29099.0,221112,,Power Plants,44911.02601299571,43457.80073010101,38123.14938099713,32031.017134736,58882.11283604855,32345.556280351964,43974.240566770255,39891.20863704221,34674.2463018356
1555,BAYER MATERIALSCIENCE,39.719477,-80.827317,STATE ROUTE 2,NEW MARTINSVILLE,WV,261550500,MARSHALL,54051.0,325110,,Chemicals,41231.0088987834,41100.36522238375,40179.83982303016,42953.61797878779,51933.7643477189,71892.95161850943,27038.949652941177,34152.298190415095,60738.29330299734
1556,TC-341 PIPELINE GROUNDWATER REMEDIATION,34.670921,-77.348604,12 POST LANE,CAMP LEJEUNE,NC,28542,ONSLOW,37133.0,928110,,Waste,,,,,58771.14626077563,67294.6298112274,91168.92892839544,43783.69795707004,266172.4923429706
1557,HONEYWELL INTERNATIONAL INC HOPEWELL PLANT,37.297718,-77.2773,905 E RANDOLPH RD,HOPEWELL,VA,23860,HOPEWELL (CITY),51670.0,325199,,"Chemicals,Suppliers of CO2",35454.92691454841,35080.95801036103,29382.93186344839,29351.30845863741,17304.038569007636,35897.29027627797,41866.38074594602,38149.86271605669,35244.700053181106
1558,NORTHWEST TN DISPOSAL,36.402929,-89.153684,518 BEECH CHAPEL ROAD,UNION CITY,TN,38261-8039,OBION,47131.0,562212,,Waste,,,,,57633.36643544055,21686.7604703296,41592.6155714827,53268.114132788825,65189.846897281066
1559,CMC STEEL ARIZONA,33.2853,-111.5863,11444 E GERMANN RD,MESA,AZ,85212,MARICOPA,4013.0,332312,331111.0,Metals,27759.51217130824,25413.95681307535,27314.96826486057,34424.385107846334,74393.9053405361,42197.89666972496,60891.51645686258,99277.6519429861,74640.63166129026
1560,Auburndale Peaker Energy Center,28.05452,-81.80585,1651 WEST DERBY AVENUE,AUBURNDALE,FL,33823,POLK,12105.0,221112,,Power Plants,,,,,34837.442896370914,32514.09970753674,16328.233977434022,39159.67660956245,40223.01741357042
1561,UNIVERSITY PARK ENERGY LLC,41.4406,-87.7523,2635 DRALLE ROAD,UNIVERSITY PARK,IL,60466-4102,WILL,17197.0,221112,,Power Plants,,,,,73589.8239627285,55740.100205038216,74666.569913246,32930.19521959951,36226.81008166082
1562,PCCV-Deep Mine 35,36.970042,-82.604399,5703 Crutchfield Drive,NORTON,VA,24273,NORTON CITY,51720.0,212112,,Other,,,,,,59283.40446607689,57797.89157902568,31082.70064261513,40729.97462762023
1563,GREEN PLAINS FAIRMONT LLC,43.665679,-94.494977,1125 BIXBY RD,FAIRMONT,MN,560311418,MARTIN,27091.0,325193,,Other,19451.089828447995,12975.733970868772,10102.999816996726,13848.885424301348,56848.76539330341,26739.54270728849,60594.40174078502,51446.51706101304,49543.05364553144
1564,SLAUGHTER GASOLINE PLANT,33.464722,-102.554994,3 MILE WEST ON FM 303 ON FM 301 HWY,SUNDOWN,TX,79372,HOCKLEY,48219.0,211112,,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,,,,111898.37298468169,94954.20011636116,89420.16869602716,38700.43159532787,75252.10474531044
1565,SILVERHAWK POWER PLANT,36.410663,-114.961587,15111 APEX POWER PKWY,LAS VEGAS,NV,89124,CLARK,32003.0,221112,,Power Plants,,,,,92526.02641241266,78435.75770496292,91443.0930530772,65869.02793296869,54789.51043199464
1566,BRIDGEPORT RESOURCE RECOVERY FACILITY,41.162404,-73.208494,6 HOWARD AVE,BRIDGEPORT,CT,06605-1822,FAIRFIELD,9001.0,562213,,Waste,,,,,305184.66007604456,48880.69641510931,60085.40871462086,80148.4672789259,38907.04568096597
1567,CENTRAL SANITARY LANDFILL,43.33033,-85.509633,21545 W CANNONSVILLE ROAD,PIERSON,MI,49339-9505,MONTCALM,26117.0,562212,,Waste,,,,,98930.32732167236,83467.16988342674,59234.001674021136,94770.82608527606,82382.12315444401
1568,IIG MINERAL WOOL. LLC,32.417451,-85.04413,908 JOHN BUSSEY DRIVE,PHENIX CITY,AL,36869,RUSSELL,1113.0,327993,,Minerals,,,,,,,,10348.551781948714,10064.616598726352
1569,TXI OPERATIONS LP,31.910438,-96.346756,1 1/2 MILE N ON I-45,STREETMAN,TX,75859,NAVARRO,48349.0,212324,,Other,29708.39639405801,29931.36119831772,33781.33474371465,28156.10234880788,74514.78817503677,24176.40036174104,32657.460128133444,24938.632964554818,77344.54212290444
1570,GIBSON COUNTY COAL CORPORATION,38.354475,-87.559361,RR 3 LYLE STATION RD,PRINCETON,IN,47670,,,212112,,Other,,,,,,32877.483477255366,3477.281826019688,30578.86714624736,35704.392625349465
1571,MGM RESORTS INTERNATIONAL CORPORATE CAMPUS,36.103484,-115.179837,4882 FRANK SINATRA DR,LAS VEGAS,NV,89109,CLARK,32003.0,721120,,Other,,,,,98175.84602108206,88476.41120604759,43957.31285533406,41137.04103738448,68471.35806011446
1572,FLORIDA POWER & LIGHT CO PUTNAM POWER PLANT,29.628458,-81.585132,392 SOUTH US HIGHWAY 17,EAST PALATKA,FL,32131,PUTNAM,12107.0,221112,,Power Plants,28628.192019700346,27261.071349536844,18288.87017761771,20580.70859742657,46601.950168083335,67038.8794307809,61742.1792131675,20367.71064911031,67891.6941025329
1573,B BRAUN MEDICAL,33.6878,-117.8379,2525 MCGAW AVE,IRVINE,CA,92614,ORANGE,6059.0,325412,,Chemicals,,,,,99757.3510640467,12703.034954283265,39575.94181886665,40653.484283551305,85822.90920017732
1574,HEREFORD RENEWABLE ENERGY LLC,34.854782,-102.210136,4300 COUNTY RD 8,HEREFORD,TX,79045,DEAF SMITH,48117.0,325193,,Other,22843.846137047927,20774.856653138835,13213.643660299069,16585.134299217214,52494.5222787456,12756.029183655352,58027.58024908088,27598.907705235382,59857.73188404935
1575,TEXAS GAS TRANSMISSION - MIDLAND STORAGE FIELD,37.329327,-87.24193,650 HIGHWAY 175 SOUTH,BREMEN,KY,42325,MUHLENBERG,21177.0,486210,,Petroleum and Natural Gas Systems,,,,,,,425256.8947282139,389773.2904180419,406678.32549817406
1576,CENTRAL MISSOURI SANITARY LANDFILL,38.72171,-93.289139,24461 OAK GROVE LANE,SEDALIA,MO,65302,PETTIS,29159.0,562212,,Waste,,,,,49205.8839056353,14607.95606021153,43338.94693496327,58428.7756791049,20302.823182618315
1577,TRI-STATE GENERATION & TRANSMISSION - ESCALANTE STATION,35.416111,-108.082222,COUNTY RD 19,PREWITT,NM,870450577,MCKINLEY,35031.0,221112,,Power Plants,36356.29804214471,31927.71004125001,32528.983261490503,28630.697259484296,56940.85458065174,33912.074587488314,71633.71345553182,68904.58092828114,30768.940420336992
1578,LHOIST NORTH AMERICA NATIVIDAD PLANT,36.747,-121.60534,11771 OLD STAGE RD,SALINAS,CA,93908,MONTEREY,6053.0,327410,,Minerals,27317.95853307778,21231.454501371947,17029.43262668047,24504.920582775303,36828.23722306934,103226.95132033364,92246.26977955224,31723.669925495724,44936.04783525794
1579,SIMPLOT PHOSPHATES LLC,41.541667,-109.131667,515 S HWY 430,ROCK SPRINGS,WY,82901,SWEETWATER,56037.0,325312,,Chemicals,21096.36079905513,29267.82371601772,19212.634427062563,19422.56025981613,50740.27879165296,32890.620948380914,83389.70407012981,46631.52624313173,70523.02189960616
1580,THILMANY PAPER MILL,44.2829,-88.2518,600 THILMANY RD,KAUKAUNA,WI,54130,OUTAGAMIE,55087.0,322121,,"Pulp and Paper,Waste",28351.572456137503,32568.06784869144,30467.328085369,27699.32012517629,92870.57897110654,63670.60981628308,87449.04790953806,33681.906937935215,42593.11048498517
1581,CF INDUSTRIES NITROGEN LLC - YAZOO CITY MISSISSIPPI PLANT,32.899048,-90.375369,4612 HIGHWAY 49 E,YAZOO CITY,MS,39194,YAZOO,28163.0,325311,,Chemicals,34763.36295370155,37450.92720860675,32271.955094657827,26459.6995472405,67573.09960741091,88850.36159443029,79708.30675789286,31425.21895606964,55111.13794762027
1582,STAGECOACH JUNCTION COMPRESSOR STATION,41.707908,-76.207682,,WYALUSING,PA,18853,BRADFORD,42015.0,211111,,Petroleum and Natural Gas Systems,,,,,,,,,72212.67287535565
1583,VIOSCA KNOLL VK 900,30.44298,-90.08364,100 NORTHPARK BLVD,COVINGTON,LA,70433,SAINT TAMMANY,22103.0,211111,,Petroleum and Natural Gas Systems,,,,,97781.29312282467,79986.3113357027,383027.394236414,69242.61957152582,73269.40991746382
